GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,,,BRN,Brunei Darussalam,,5148,5148,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,BGR,Bulgaria,,2331,2331,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,BFA,Burkina Faso,,5567,5567,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,BDI,Burundi,,5111,5111,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,,,KHM,Cambodia,,5152,5152,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,BRA,Brazil,,4552,4552,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,BWA,Botswana,,4868,4868,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,BIH,Bosnia and Herzegovina,,2205,2205,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,BOL,Bolivia (Plurinational State of),,5344,5344,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BTN,Bhutan,,4180,4180,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,BEN,Benin,,5168,5168,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,BLZ,Belize,,4639,4639,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,BEL,Belgium,,1645,1645,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,BLR,Belarus,,1795,1795,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,BRB,Barbados,,5787,5787,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,4029,4029,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,,,,BHR,Bahrain,,4419,4419,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,BHS,Bahamas,,4119,4119,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,AZE,Azerbaijan,,2702,2702,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,AUT,Austria,,1888,1888,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,,,AUS,Australia,,3206,3206,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,ARM,Armenia,,2899,2899,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,ARG,Argentina,,3476,3476,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,ATG,Antigua and Barbuda,,5148,5148,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,AGO,Angola,,5287,5287,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,AND,Andorra,,2469,2469,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,DZA,Algeria,,3253,3253,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EUR,Europe,,,,,ALB,Albania,,2542,2542,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,,,,AFG,Afghanistan,,4132,4132,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,EMR,Eastern Mediterranean,,,,,EGY,Egypt,,4202,4202,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,SLV,El Salvador,,5364,5364,,,,,
UV_1,UV radiation,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2395,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,,,GNQ,Equatorial Guinea,,4635,4635,,,,,
