Entity,Code,Date,Workplace Closures (OxBSG)
Afghanistan,AFG,"Mar 24, 2020",3
Afghanistan,AFG,"Mar 25, 2020",3
Afghanistan,AFG,"Mar 26, 2020",3
Afghanistan,AFG,"Mar 27, 2020",3
Afghanistan,AFG,"Mar 28, 2020",3
Afghanistan,AFG,"Mar 29, 2020",3
Afghanistan,AFG,"Mar 30, 2020",3
Afghanistan,AFG,"Mar 31, 2020",3
Afghanistan,AFG,"Apr 1, 2020",3
Afghanistan,AFG,"Apr 2, 2020",3
Afghanistan,AFG,"Apr 3, 2020",3
Afghanistan,AFG,"Apr 4, 2020",3
Afghanistan,AFG,"Apr 5, 2020",3
Afghanistan,AFG,"Apr 6, 2020",3
Afghanistan,AFG,"Apr 7, 2020",3
Afghanistan,AFG,"Apr 8, 2020",3
Afghanistan,AFG,"Apr 9, 2020",3
Afghanistan,AFG,"Apr 10, 2020",3
Afghanistan,AFG,"Apr 11, 2020",3
Afghanistan,AFG,"Apr 12, 2020",3
Afghanistan,AFG,"Apr 13, 2020",3
Afghanistan,AFG,"Apr 14, 2020",3
Afghanistan,AFG,"Apr 15, 2020",3
Afghanistan,AFG,"Apr 16, 2020",3
Afghanistan,AFG,"Apr 17, 2020",3
Afghanistan,AFG,"Apr 18, 2020",3
Afghanistan,AFG,"Apr 19, 2020",3
Afghanistan,AFG,"Apr 20, 2020",3
Afghanistan,AFG,"Apr 21, 2020",3
Afghanistan,AFG,"Apr 22, 2020",3
Afghanistan,AFG,"Apr 23, 2020",3
Afghanistan,AFG,"Apr 24, 2020",3
Afghanistan,AFG,"Apr 25, 2020",3
Afghanistan,AFG,"Apr 26, 2020",3
Afghanistan,AFG,"Apr 27, 2020",3
Afghanistan,AFG,"Apr 28, 2020",3
Afghanistan,AFG,"Apr 29, 2020",3
Afghanistan,AFG,"Apr 30, 2020",3
Afghanistan,AFG,"May 1, 2020",3
Afghanistan,AFG,"May 2, 2020",3
Afghanistan,AFG,"May 3, 2020",3
Afghanistan,AFG,"May 4, 2020",3
Afghanistan,AFG,"May 5, 2020",3
Afghanistan,AFG,"May 6, 2020",3
Afghanistan,AFG,"May 7, 2020",3
Afghanistan,AFG,"May 8, 2020",3
Afghanistan,AFG,"May 9, 2020",3
Albania,ALB,"Mar 9, 2020",2
Albania,ALB,"Mar 10, 2020",2
Albania,ALB,"Mar 11, 2020",2
Albania,ALB,"Mar 12, 2020",2
Albania,ALB,"Mar 13, 2020",2
Albania,ALB,"Mar 14, 2020",2
Albania,ALB,"Mar 15, 2020",2
Albania,ALB,"Mar 16, 2020",2
Albania,ALB,"Mar 17, 2020",2
Albania,ALB,"Mar 18, 2020",2
Albania,ALB,"Mar 19, 2020",2
Albania,ALB,"Mar 20, 2020",2
Albania,ALB,"Mar 21, 2020",2
Albania,ALB,"Mar 22, 2020",2
Albania,ALB,"Mar 23, 2020",2
Albania,ALB,"Mar 24, 2020",2
Albania,ALB,"Mar 25, 2020",2
Albania,ALB,"Mar 26, 2020",2
Albania,ALB,"Mar 27, 2020",2
Albania,ALB,"Mar 28, 2020",2
Albania,ALB,"Mar 29, 2020",2
Albania,ALB,"Mar 30, 2020",2
Albania,ALB,"Mar 31, 2020",2
Albania,ALB,"Apr 1, 2020",2
Albania,ALB,"Apr 2, 2020",2
Albania,ALB,"Apr 3, 2020",2
Albania,ALB,"Apr 4, 2020",2
Albania,ALB,"Apr 5, 2020",2
Albania,ALB,"Apr 6, 2020",2
Albania,ALB,"Apr 7, 2020",2
Albania,ALB,"Apr 8, 2020",2
Albania,ALB,"Apr 9, 2020",2
Albania,ALB,"Apr 10, 2020",2
Albania,ALB,"Apr 11, 2020",2
Albania,ALB,"Apr 12, 2020",2
Albania,ALB,"Apr 13, 2020",2
Albania,ALB,"Apr 14, 2020",2
Albania,ALB,"Apr 15, 2020",2
Albania,ALB,"Apr 16, 2020",2
Albania,ALB,"Apr 17, 2020",2
Albania,ALB,"Apr 18, 2020",2
Albania,ALB,"Apr 19, 2020",2
Albania,ALB,"Apr 20, 2020",2
Albania,ALB,"Apr 21, 2020",2
Albania,ALB,"Apr 22, 2020",2
Albania,ALB,"Apr 23, 2020",2
Albania,ALB,"Apr 24, 2020",2
Albania,ALB,"Apr 25, 2020",2
Albania,ALB,"Apr 26, 2020",2
Albania,ALB,"Apr 27, 2020",2
Albania,ALB,"Apr 28, 2020",2
Albania,ALB,"Apr 29, 2020",2
Albania,ALB,"Apr 30, 2020",2
Albania,ALB,"May 1, 2020",2
Albania,ALB,"May 2, 2020",2
Albania,ALB,"May 3, 2020",2
Albania,ALB,"May 4, 2020",2
Albania,ALB,"May 5, 2020",2
Albania,ALB,"May 6, 2020",2
Albania,ALB,"May 7, 2020",2
Albania,ALB,"May 8, 2020",2
Albania,ALB,"May 9, 2020",2
Albania,ALB,"May 10, 2020",2
Algeria,DZA,"Mar 23, 2020",2
Algeria,DZA,"Mar 24, 2020",2
Algeria,DZA,"Mar 25, 2020",2
Algeria,DZA,"Mar 26, 2020",2
Algeria,DZA,"Mar 27, 2020",2
Algeria,DZA,"Mar 28, 2020",2
Algeria,DZA,"Mar 29, 2020",2
Algeria,DZA,"Mar 30, 2020",3
Algeria,DZA,"Mar 31, 2020",3
Algeria,DZA,"Apr 1, 2020",3
Algeria,DZA,"Apr 2, 2020",3
Algeria,DZA,"Apr 3, 2020",3
Algeria,DZA,"Apr 4, 2020",3
Algeria,DZA,"Apr 5, 2020",3
Algeria,DZA,"Apr 6, 2020",3
Algeria,DZA,"Apr 7, 2020",3
Algeria,DZA,"Apr 8, 2020",3
Algeria,DZA,"Apr 9, 2020",3
Algeria,DZA,"Apr 10, 2020",3
Algeria,DZA,"Apr 11, 2020",3
Algeria,DZA,"Apr 12, 2020",3
Algeria,DZA,"Apr 13, 2020",3
Algeria,DZA,"Apr 14, 2020",3
Algeria,DZA,"Apr 15, 2020",3
Algeria,DZA,"Apr 16, 2020",3
Algeria,DZA,"Apr 17, 2020",3
Algeria,DZA,"Apr 18, 2020",3
Algeria,DZA,"Apr 19, 2020",3
Algeria,DZA,"Apr 20, 2020",3
Algeria,DZA,"Apr 21, 2020",3
Algeria,DZA,"Apr 22, 2020",3
Algeria,DZA,"Apr 23, 2020",3
Algeria,DZA,"Apr 24, 2020",2
Algeria,DZA,"Apr 25, 2020",2
Algeria,DZA,"Apr 26, 2020",2
Algeria,DZA,"Apr 27, 2020",2
Algeria,DZA,"Apr 28, 2020",2
Algeria,DZA,"Apr 29, 2020",2
Algeria,DZA,"Apr 30, 2020",2
Algeria,DZA,"May 1, 2020",2
Algeria,DZA,"May 2, 2020",2
Algeria,DZA,"May 3, 2020",2
Algeria,DZA,"May 4, 2020",2
Algeria,DZA,"May 5, 2020",2
Algeria,DZA,"May 6, 2020",2
Algeria,DZA,"May 7, 2020",2
Algeria,DZA,"May 8, 2020",2
Andorra,AND,"Mar 14, 2020",3
Andorra,AND,"Mar 15, 2020",3
